mike@workstation:~/workspace/assassin$ bin/gcc-5.4.0/release/assassin
 2/ 0,   +0.83 p,   0.00 s,        549 N,  4819636 N/s, f3b3
 3/ 0,   +0.99 p,   0.00 s,       2939 N,  7947517 N/s, f3b3
 4/ 0,   +0.87 p,   0.00 s,      13958 N,  5471959 N/s, f3b3
 5/ 0,   +0.93 p,   0.01 s,      85385 N,  7748825 N/s, f1f2
 6/ 0,   +1.00 p,   0.10 s,     537564 N,  5368297 N/s, f1f2
 7/ 0,   +1.05 p,   0.23 s,    1809239 N,  7743632 N/s, f1f2
 8/ 0,   +1.04 p,   2.58 s,   14344222 N,  5557910 N/s, f3b3
 9/ 0,   +1.04 p,   6.19 s,   47924925 N,  7739422 N/s, f3b3
10/ 0,   +0.99 p,  35.13 s,  191378884 N,  5447218 N/s, b2b3

 1/ 0,   -0.11 p,   0.00 s,         39 N,  3877896 N/s, d4c3
 2/ 0,   -0.15 p,   0.00 s,        163 N,  3520214 N/s, d4c3
 3/ 0,   -0.09 p,   0.00 s,        620 N,  6489360 N/s, d4c3
 4/ 0,   -0.09 p,   0.00 s,       1680 N,  6402732 N/s, d4c3
 5/ 0,   -0.03 p,   0.00 s,       7131 N,  8439153 N/s, d4c3
 6/ 0,   -0.03 p,   0.00 s,      20175 N,  7578865 N/s, d4c3
 7/ 0,   -0.03 p,   0.01 s,      55157 N,  7711055 N/s, d4c3
 8/ 0,   -0.04 p,   0.02 s,     183194 N,  7501267 N/s, d4c3
 9/ 0,   -0.01 p,   0.11 s,     891209 N,  8134776 N/s, d4e3
10/ 0,   -0.06 p,   0.32 s,    2603644 N,  8093738 N/s, d4e3
11/ 0,   -0.02 p,   0.81 s,    7133615 N,  8831478 N/s, d4e3
12/ 0,   +3.43 p,   2.88 s,   25338810 N,  8789047 N/s, d4b6
13/ 0,   +3.53 p,   6.16 s,   64270694 N, 10434497 N/s, d4b6
14/ 0,   +3.63 p,   8.20 s,   78099437 N,  9523521 N/s, d4b6
15/ 0,   +3.85 p,   9.80 s,   93591790 N,  9554076 N/s, d4b6
16/ 0,   +4.48 p,  15.83 s,  136453265 N,  8622458 N/s, d4b6

 1/ 0,   +0.22 p,   0.00 s,        189 N,  5390912 N/s, e6d6
 2/ 0,   +0.17 p,   0.00 s,        619 N,  4130081 N/s, e6d6
 3/ 0,   +0.19 p,   0.00 s,       3826 N,  7066902 N/s, e6d6
 4/ 0,   +0.18 p,   0.00 s,      16234 N,  5505998 N/s, e6d6
 5/ 0,   +0.20 p,   0.01 s,      68250 N,  8140533 N/s, e6d6
 6/ 0,   +0.18 p,   0.07 s,     384428 N,  5514418 N/s, e6d6
 7/ 0,   +0.20 p,   0.16 s,    1257466 N,  7877204 N/s, e6d6
 8/ 0,   +0.14 p,   1.02 s,    5546004 N,  5446835 N/s, d3a6
 9/ 0,   +0.13 p,   2.22 s,   18811994 N,  8459346 N/s, d3a6
10/ 0,   +0.14 p,  15.41 s,   77862350 N,  5052813 N/s, d3a6
11/ 0,   +0.20 p,  33.11 s,  242538233 N,  7324731 N/s, e6d6

mike@workstation:~/workspace/assassin$ 
